State,Obama,Romney
District of Columbia,83.63,0.00
Hawaii,42.71,0.00
Vermont,35.60,0.00
New York,28.13,0.00
Rhode Island,27.46,0.00
Maryland,26.08,0.00
Massachusetts,23.14,0.00
California,23.12,0.00
Delaware,18.63,0.00
New Jersey,17.79,0.00
Connecticut,17.33,0.00
Illinois,16.87,0.00
Maine,15.29,0.00
Washington,14.87,0.00
Oregon,12.09,0.00
New Mexico,10.15,0.00
Michigan,9.50,0.00
Minnesota,7.69,0.00
Wisconsin,6.94,0.00
Nevada,6.68,0.00
Iowa,5.81,0.00
New Hampshire,5.58,0.00
Pennsylvania,5.39,0.00
Colorado,5.37,0.00
Virginia,3.87,0.00
Ohio,2.98,0.00
Florida,0.88,0.00
North Carolina,0.00,2.04
Georgia,0.00,7.82
Arizona,0.00,9.06
Missouri,0.00,9.38
Indiana,0.00,10.20
South Carolina,0.00,10.47
Mississippi,0.00,11.50
Montana,0.00,13.65
Alaska,0.00,13.99
Texas,0.00,15.78
Louisiana,0.00,17.21
South Dakota,0.00,18.02
North Dakota,0.00,19.62
Tennessee,0.00,20.40
Kansas,0.00,21.72
Nebraska,0.00,21.78
Alabama,0.00,22.19
Kentucky,0.00,22.69
Arkansas,0.00,23.69
West Virginia,0.00,26.76
Idaho,0.00,31.91
Oklahoma,0.00,33.54
Wyoming,0.00,40.82
Utah,0.00,48.04
